variable,bin,count,count_distr,good,bad,badprob,woe,bin_iv,total_iv,breaks,is_special_values,variable_name
count_family_members,"[4.0,inf)",19345,0.09475875581680138,18731,614,0.031739467562677696,0.055048905274427025,0.0002947042146011611,0.0019408117231826387,inf,False,count_family_members
avg_application_amt,"[-inf,30000.0)",12356,0.06052412441831986,11917,439,0.03552929750728391,0.171767343407542,0.0019373146368745647,0.007092431969667703,30000.0,False,avg_application_amt
avg_application_amt,"[30000.0,70000.0)",49185,0.24092578986039676,47602,1583,0.03218460912879943,0.06943616516063612,0.0012002762842540718,0.007092431969667703,70000.0,False,avg_application_amt
avg_application_amt,"[70000.0,330000.0)",122480,0.5999510164095028,118855,3625,0.02959666884389288,-0.017060813027404923,0.00017323550967258017,0.007092431969667703,330000.0,False,avg_application_amt
avg_application_amt,"[330000.0,inf)",20129,0.09859906931178056,19633,496,0.024641065129912067,-0.20540201475064462,0.003781605538866486,0.007092431969667703,inf,False,avg_application_amt
total_active_tradelines,"[-inf,3.0)",147363,0.7218368846436444,143026,4337,0.029430725487401856,-0.02285440563839688,0.0003730104443778152,0.0019327534711731523,3.0,False,total_active_tradelines
total_active_tradelines,"[3.0,4.0)",25375,0.124295860886603,24601,774,0.030502463054187193,0.014018663512151171,2.4588560851787944e-05,0.0019327534711731523,4.0,False,total_active_tradelines
total_active_tradelines,"[4.0,5.0)",14767,0.0723340680871908,14300,467,0.03162456829416943,0.05130360284407549,0.00019504700543130618,0.0019327534711731523,5.0,False,total_active_tradelines
total_active_tradelines,"[5.0,inf)",16645,0.08153318638256184,16080,565,0.03394412736557525,0.12448334983666048,0.001340107460512243,0.0019327534711731523,inf,False,total_active_tradelines
total_exposure_HL,"[-inf,inf)",204150,1.0,198007,6143,0.03009061964241979,0.0,0.0,0.0,inf,False,total_exposure_HL
total_debt_AL,"[-inf,inf)",204150,1.0,198007,6143,0.03009061964241979,0.0,0.0,0.0,inf,False,total_debt_AL
total_exposure_CC,"[-inf,100000.0)",118840,0.5821209894685281,115310,3530,0.02970380343318748,-0.013337121414642597,0.00010290055984171019,0.0015461026089167787,100000.0,False,total_exposure_CC
total_exposure_CC,"[100000.0,520000.0)",62543,0.3063580700465344,60639,1904,0.03044305517803751,0.012007847359379886,4.442340915394552e-05,0.0015461026089167787,520000.0,False,total_exposure_CC
